property_id,address_id,owner_id,agent_id,feature_id,listing_date,listing_type,asking_amount
241,864,571,818,241,1/31/2023,Rental,706376
242,679,56,117,242,4/12/2019,Sale,519555
243,698,63,671,243,4/11/2022,Sale,
244,868,563,487,244,3/28/2021,Rental,216078
245,886,710,179,245,2/19/2022,Sale,619189
246,639,42,185,246,1/21/2020,,601361
247,777,721,599,247,12/14/2020,,316271
248,35,628,1,248,10/17/2020,Sale,789111
249,394,211,25,249,9/27/2019,Rental,357328
250,418,814,977,250,7/24/2020,Sale,822403
251,793,428,815,251,2/14/2019,Sale,704563
252,519,345,332,252,5/15/2021,Sale,150932
253,782,372,600,253,1/4/2023,Rental,130364
254,946,752,69,254,9/12/2023,Sale,213557
255,223,330,940,255,7/22/2020,Sale,35020
256,602,707,298,256,9/26/2023,Rental,848651
257,725,449,71,257,5/21/2020,Sale,336437
258,296,35,773,258,12/22/2021,Sale,690808
259,806,383,833,259,3/21/2019,,723791
260,524,658,350,260,2/13/2020,Sale,546422
261,344,990,151,261,5/5/2022,Rental,657775
262,506,597,797,262,5/31/2023,,919219
263,95,302,788,263,6/23/2022,Rental,211803
264,262,747,206,264,9/3/2021,Rental,291609
265,804,439,119,265,12/8/2021,,77977
266,278,540,973,266,10/16/2023,Sale,226233
267,505,280,38,267,4/6/2020,,395222
268,464,237,107,268,8/21/2022,Sale,35543
269,84,231,870,269,1/4/2023,Sale,970167
270,536,84,235,270,4/19/2019,Sale,995222
271,724,378,344,271,11/2/2021,Sale,542297
272,568,447,680,272,4/11/2020,Rental,716227
273,105,351,644,273,8/21/2023,Sale,740652
274,321,332,538,274,1/1/2022,Sale,670724
275,861,771,806,275,9/13/2020,Rental,
276,281,579,936,276,8/2/2023,Sale,455686
277,480,379,698,277,2/14/2020,Rental,355641
278,499,334,851,278,11/25/2022,Rental,503914
279,989,288,685,279,2/5/2021,Rental,843556
280,976,905,490,280,12/6/2019,Rental,20833
281,346,64,34,281,5/10/2022,Rental,997625
282,959,91,601,282,3/23/2022,Sale,146954
283,417,487,196,283,4/18/2022,Rental,567989
284,250,11,956,284,6/6/2021,Rental,
285,948,554,70,285,3/17/2023,Rental,
286,199,442,122,286,1/20/2022,Rental,751815
287,80,724,168,287,6/22/2019,Sale,
288,983,116,961,288,5/29/2020,Rental,894400
289,707,506,366,289,8/22/2021,,566324
290,226,667,522,290,3/8/2023,Sale,657435
291,79,14,661,291,4/26/2022,,997212
292,373,274,273,292,4/30/2021,Rental,117655
293,284,819,706,293,1/26/2020,Sale,175662
294,712,904,560,294,9/26/2021,,419021
295,904,157,660,295,10/26/2022,Rental,892694
296,438,686,4,296,12/1/2021,,17195
297,185,102,598,297,6/13/2022,Sale,691574
298,244,947,471,298,10/18/2020,Rental,527573
299,107,245,608,299,6/26/2023,Sale,667629
300,201,851,529,300,5/3/2021,Sale,737511
301,44,951,971,301,5/14/2021,Rental,287778
302,111,474,476,302,7/25/2023,Rental,722276
303,177,141,759,303,9/9/2019,Sale,303103
304,986,273,530,304,6/6/2019,Sale,787336
305,165,481,886,305,3/22/2022,Sale,335767
306,988,958,739,306,9/9/2022,Sale,205340
307,716,22,368,307,10/8/2022,,184460
308,713,445,517,308,4/5/2019,Sale,362815
309,316,604,935,309,9/14/2021,,37844
310,837,633,894,310,4/9/2023,Rental,456660
311,32,732,121,311,11/21/2022,Rental,409617
312,385,114,473,312,7/17/2020,Rental,479247
313,537,751,681,313,9/11/2021,,438078
314,604,126,932,314,11/10/2019,Rental,276163
315,289,792,865,315,10/12/2021,Sale,297305
316,470,403,304,316,6/22/2023,Rental,
317,940,67,360,317,9/27/2023,Sale,775092
318,125,6,352,318,11/26/2021,Rental,474653
319,556,415,535,319,6/13/2020,Sale,764338
320,5,610,84,320,12/25/2020,,305318
321,168,530,737,321,12/17/2023,Rental,325762
322,575,150,485,322,2/6/2022,Rental,60125
323,623,376,923,323,3/17/2022,Sale,580211
324,445,996,980,324,10/11/2023,Sale,248278
325,999,821,501,325,4/24/2020,Sale,91721
326,612,161,439,326,4/3/2022,Sale,554706
327,560,669,255,327,5/9/2021,Sale,
328,169,886,686,328,9/28/2022,Rental,152376
329,787,46,284,329,3/21/2019,Rental,355045
330,58,240,104,330,3/4/2023,,482440
331,759,103,416,331,1/20/2022,Rental,281791
332,720,389,380,332,6/9/2019,Rental,365747
333,363,892,691,333,9/16/2019,Rental,325539
334,404,422,92,334,8/2/2020,Rental,369775
335,467,472,66,335,4/6/2021,Sale,260519
336,696,691,784,336,4/20/2022,Rental,463623
337,260,899,335,337,5/13/2020,Sale,773597
338,675,853,251,338,7/6/2019,Rental,669815
339,918,659,132,339,5/30/2021,Sale,621150
340,374,871,533,340,2/22/2021,,243359
341,554,600,14,341,10/28/2023,Rental,894612
342,329,120,275,342,3/15/2020,Sale,984109
343,493,145,918,343,9/12/2020,,366363
344,301,750,181,344,7/26/2022,Sale,32956
345,572,259,904,345,1/30/2021,Sale,330020
346,354,532,444,346,10/27/2019,Sale,67382
347,565,998,54,347,10/10/2020,Sale,360007
348,453,317,16,348,6/13/2023,Rental,424024
349,20,986,24,349,3/18/2021,Sale,698610
350,951,956,28,350,8/18/2019,Sale,86623
351,57,295,199,351,4/1/2023,Sale,929217
352,578,373,347,352,1/23/2020,,884216
353,973,423,208,353,6/20/2022,Rental,658220
354,799,15,820,354,10/8/2023,Rental,681942
355,140,2,554,355,6/17/2022,Sale,586140
356,561,876,257,356,8/12/2020,Rental,967398
357,717,182,647,357,8/3/2022,Sale,47530
358,252,811,653,358,2/26/2019,Sale,941383
359,899,183,250,359,7/20/2019,Sale,297374
360,653,75,631,360,7/19/2021,Sale,338358
361,944,60,292,361,12/2/2022,Rental,867543
362,366,58,803,362,11/16/2021,Rental,582139
363,293,596,385,363,7/8/2022,Sale,761632
364,668,7,688,364,6/7/2019,Sale,429542
365,621,160,958,365,5/2/2020,,391959
366,307,535,486,366,12/31/2021,Rental,633580
367,130,173,482,367,1/15/2020,Sale,743654
368,25,932,310,368,5/22/2019,Rental,706539
369,645,430,893,369,2/26/2019,Rental,465665
370,247,95,551,370,3/17/2019,Rental,862857
371,640,840,112,371,12/10/2023,Sale,425315
372,221,264,434,372,3/9/2023,,848029
373,664,823,423,373,1/26/2020,,607660
374,207,493,768,374,11/8/2021,Sale,665977
375,596,863,303,375,1/30/2020,Sale,362396
376,663,98,547,376,1/31/2020,Rental,911073
377,688,983,735,377,12/28/2023,Rental,858926
378,494,341,976,378,2/8/2019,Rental,917434
379,954,764,679,379,4/11/2023,Rental,804581
380,577,367,73,380,9/25/2023,Sale,805930
381,231,959,843,381,1/19/2023,Sale,895506
382,203,912,381,382,1/15/2023,Rental,578589
383,546,473,260,383,4/28/2022,Rental,496586
384,967,491,317,384,4/5/2022,Rental,887986
385,205,694,659,385,8/24/2020,,
386,912,492,424,386,10/28/2022,Sale,292035
387,178,76,970,387,12/17/2023,Sale,200882
388,248,353,27,388,2/1/2023,,689428
389,109,61,549,389,4/5/2020,Sale,687717
390,456,776,652,390,2/17/2020,Sale,353813
391,598,420,990,391,5/27/2019,Rental,793616
392,898,461,177,392,4/28/2019,Sale,674654
393,956,615,57,393,1/21/2022,Sale,189901
394,667,405,880,394,12/24/2020,Sale,679629
395,332,364,236,395,7/27/2022,Sale,257128
396,370,421,587,396,5/8/2023,Rental,793633
397,701,948,501,397,9/10/2022,Sale,499677
398,784,837,248,398,1/15/2022,Rental,
399,465,728,833,399,1/15/2023,,945363
400,142,807,922,400,9/13/2021,,258971
401,684,722,334,401,1/10/2021,Rental,141036
402,591,876,60,402,3/11/2020,Sale,815106
403,885,677,489,403,12/4/2023,Sale,108208
404,392,418,9,404,2/9/2020,Sale,302783
405,901,392,222,405,6/4/2022,Rental,216196
406,380,108,420,406,9/14/2019,Sale,974221
407,967,674,906,407,8/30/2023,Rental,475580
408,326,90,682,408,12/22/2023,Rental,605191
409,581,268,367,409,12/18/2021,Sale,101880
410,843,242,353,410,10/28/2022,Sale,991518
411,370,38,73,411,10/20/2022,Sale,691131
412,18,715,595,412,11/30/2019,Rental,253897
413,231,627,524,413,7/20/2021,Rental,834499
414,899,367,872,414,2/7/2023,Rental,347752
415,160,781,164,415,4/27/2022,Rental,108331
416,80,310,1,416,11/18/2021,Rental,581414
417,399,195,425,417,8/31/2023,Rental,188994
418,807,519,237,418,12/18/2022,Sale,
419,650,644,13,419,7/22/2021,Rental,248781
420,825,373,140,420,6/15/2019,Rental,28280
421,493,942,703,421,4/4/2020,Rental,38915
422,699,109,209,422,11/5/2020,Sale,908379
423,377,765,873,423,11/9/2022,Rental,805575
424,661,318,156,424,6/8/2020,Sale,116171
425,789,214,186,425,10/25/2020,Sale,597445
426,189,530,852,426,8/12/2019,Rental,285134
427,884,187,456,427,4/17/2019,Sale,956441
428,258,477,688,428,8/17/2022,Sale,
429,547,542,103,429,12/27/2020,Rental,227687
430,515,938,77,430,10/28/2023,Sale,756350
431,498,294,549,431,3/20/2019,Sale,476205
432,608,712,642,432,3/22/2019,Sale,265461
433,11,520,399,433,4/22/2022,Rental,
434,632,306,861,434,6/6/2021,Rental,510797
435,421,676,387,435,5/27/2020,Rental,840935
436,323,191,817,436,7/25/2023,Sale,793151
437,375,927,909,437,6/7/2021,Sale,482013
438,299,963,910,438,3/22/2020,Rental,657957
439,6,843,43,439,1/29/2019,,966562
440,778,313,897,440,10/2/2022,Rental,
441,374,303,521,441,5/27/2022,Rental,302190
442,473,361,331,442,12/24/2022,Rental,970687
443,919,379,193,443,9/5/2020,Rental,
444,433,75,451,444,1/29/2021,Sale,301707
445,164,175,88,445,1/20/2021,Rental,200690
446,431,170,400,446,5/11/2021,Rental,562054
447,675,281,911,447,9/18/2023,,166618
448,394,366,48,448,5/2/2022,,636352
449,966,946,590,449,3/27/2022,Rental,201708
450,357,782,37,450,9/25/2019,Sale,937712
451,873,223,298,451,11/11/2021,Rental,201175
452,556,603,314,452,2/19/2020,Rental,837238
453,513,411,645,453,7/1/2022,Rental,423867
454,932,728,490,454,12/19/2023,Rental,93802
455,129,682,958,455,5/16/2019,Sale,736868
456,933,698,19,456,7/31/2023,,770826
457,37,374,470,457,2/15/2022,Sale,313725
458,215,871,455,458,9/11/2023,,630895
459,72,943,188,459,3/6/2019,Sale,137837
460,305,522,874,460,1/15/2019,,302991
461,893,309,518,461,1/12/2022,Sale,988488
462,770,986,803,462,7/6/2022,Sale,787649
463,198,237,260,463,11/11/2020,,179874
464,55,156,27,464,4/29/2022,Rental,954117
465,9,730,446,465,2/19/2023,Rental,900760
466,560,316,362,466,7/1/2020,Sale,453302
467,682,981,189,467,1/31/2023,Rental,718052
468,881,641,760,468,11/25/2022,Sale,229975
469,200,621,797,469,8/18/2021,Rental,848663
470,113,656,205,470,8/13/2021,Rental,127154
471,83,102,240,471,7/24/2022,Sale,171894
472,293,695,824,472,6/29/2022,,200899
473,922,914,597,473,9/26/2023,Rental,681186
474,480,210,11,474,6/26/2020,Sale,746208
475,367,754,3,475,7/25/2020,Rental,347111
476,365,120,589,476,5/4/2022,Sale,859033
477,860,830,207,477,9/28/2019,,911236
478,553,36,133,478,12/11/2021,Sale,41461
479,142,776,930,479,10/12/2022,Rental,
480,266,899,568,480,11/22/2023,Sale,213486
481,760,921,83,481,10/28/2022,,72449
482,775,916,405,482,6/16/2021,Sale,308240
483,525,382,277,483,8/15/2023,,772500
484,167,31,726,484,1/10/2020,Sale,542883
485,637,541,493,485,1/15/2019,,851028
486,719,478,683,486,5/23/2022,Rental,784100
487,122,416,925,487,7/27/2021,Sale,492352
488,85,550,51,488,10/28/2022,Sale,785762
489,976,435,751,489,10/28/2021,Sale,139007
490,143,918,503,490,8/2/2020,Sale,534413
491,596,81,81,491,4/11/2020,Rental,
492,953,895,341,492,5/31/2022,,237408
493,558,279,85,493,3/27/2021,Rental,
494,237,933,255,494,12/19/2021,Sale,583023
495,223,567,80,495,10/16/2023,,403942
496,776,144,814,496,4/6/2019,Sale,329383
497,796,161,26,497,5/14/2022,,52976
498,98,497,977,498,12/3/2021,,302800
499,604,967,416,499,7/29/2019,,302437
500,783,894,989,500,4/26/2020,Sale,349812
501,229,101,783,501,12/21/2021,Rental,565012
502,603,113,28,502,8/14/2022,Sale,291563
503,484,278,305,503,9/16/2021,Sale,795333
504,687,662,102,504,1/31/2021,Sale,360872
505,810,159,923,505,11/22/2019,Rental,766861
506,58,513,588,506,5/5/2019,Sale,
507,127,514,398,507,9/19/2019,Sale,677274
508,771,483,330,508,7/3/2020,,783914
509,914,92,616,509,4/21/2022,Sale,888321
510,140,258,948,510,1/31/2021,Rental,271292
511,944,878,382,511,3/2/2023,Rental,942687
512,123,923,691,512,1/15/2022,Sale,314595
513,991,588,839,513,6/3/2019,Rental,610724
514,54,626,905,514,7/2/2019,Rental,
515,920,9,610,515,1/15/2022,Sale,
516,986,121,854,516,12/11/2022,Rental,352154
517,988,815,84,517,9/3/2019,Rental,193258
518,351,131,342,518,6/23/2023,Rental,659517
519,350,428,622,519,5/5/2022,Sale,936517
520,704,885,560,520,9/25/2021,Rental,
521,180,135,818,521,1/19/2023,Sale,675081
522,864,446,828,522,12/31/2021,Sale,
523,436,241,332,523,2/7/2020,Sale,
524,981,355,373,524,2/9/2020,Rental,742945
525,529,409,122,525,1/28/2021,Rental,887380
526,49,312,955,526,5/7/2023,Sale,665312
527,26,211,378,527,11/10/2023,Sale,238457
528,393,153,774,528,12/30/2019,Sale,618042
529,12,26,650,529,5/19/2021,Rental,761255
530,474,957,273,530,3/13/2023,Rental,492818
531,816,729,785,531,8/28/2019,Sale,826377
532,291,512,281,532,5/8/2019,Rental,300908
533,521,780,176,533,2/8/2021,,141184
534,934,912,843,534,2/20/2022,Sale,300721
535,788,529,677,535,2/13/2020,Sale,613860
536,17,802,998,536,7/25/2019,Rental,43507
537,982,360,166,537,7/10/2023,Sale,879457
538,239,954,447,538,8/31/2021,Rental,546643
539,434,290,173,539,5/16/2022,Sale,677359
540,128,178,407,540,11/27/2019,Rental,898919
541,15,504,308,541,7/6/2023,,710178
542,649,73,284,542,10/27/2023,Rental,989511
543,748,295,961,543,10/29/2022,Rental,154359
544,854,803,671,544,12/7/2021,Sale,796238
545,300,99,762,545,4/5/2022,Rental,45544
546,175,253,389,546,10/27/2020,Sale,593113
547,578,525,807,547,5/1/2020,Sale,918660
548,646,499,187,548,12/9/2021,Sale,771716
549,102,420,520,549,3/24/2021,Rental,644729
550,658,749,864,550,1/26/2019,Rental,980860
551,1,107,834,551,7/17/2022,Rental,670743
552,298,399,769,552,5/27/2020,Sale,645235
553,968,163,482,553,4/17/2021,Sale,625507
554,582,129,652,554,3/30/2023,Sale,783038
555,132,707,743,555,9/26/2022,Rental,383021
556,831,572,858,556,10/2/2021,Rental,115364
557,338,340,244,557,9/6/2019,Rental,625046
558,611,850,379,558,1/16/2019,Sale,879896
559,720,733,463,559,12/18/2022,Rental,459602
560,419,913,374,560,2/17/2020,Sale,428781
561,475,470,680,561,5/21/2020,Sale,741383
562,794,934,866,562,8/14/2023,Sale,162945
563,633,194,472,563,1/24/2020,Sale,489321
564,518,68,810,564,9/20/2022,,949849
565,96,78,21,565,6/29/2019,Sale,168459
566,444,721,479,566,8/25/2023,Sale,845204
567,695,493,739,567,11/8/2022,Sale,577295
568,837,19,723,568,2/13/2020,,907459
569,842,634,718,569,11/30/2021,Sale,51483
570,420,471,944,570,11/27/2019,,249161
571,941,202,121,571,5/31/2020,Sale,292060
572,91,956,206,572,11/6/2020,Rental,612379
573,533,174,830,573,2/25/2022,Sale,90575
574,84,43,275,574,11/26/2021,Sale,727105
575,945,197,434,575,1/18/2023,Sale,701229
576,978,975,570,576,4/4/2019,Sale,413842
577,839,777,32,577,4/8/2021,Rental,
578,602,998,959,578,5/27/2020,Sale,547198
579,220,896,146,579,10/29/2021,Sale,809235
580,722,654,662,580,6/24/2022,,38023
581,574,335,333,581,2/18/2021,Sale,220533
582,488,403,401,582,3/13/2019,Rental,187029
583,887,216,184,583,5/5/2021,Sale,20497
584,287,327,328,584,11/5/2020,Sale,154732
585,330,359,555,585,3/1/2020,Rental,180583
586,234,138,453,586,10/7/2023,Sale,708934
587,170,711,87,587,10/16/2023,Rental,29542
588,460,661,699,588,4/29/2019,Rental,258104
589,438,272,821,589,3/13/2023,Sale,392873
590,550,80,798,590,4/15/2020,Rental,980158
591,526,266,246,591,4/13/2021,,775964
592,500,569,413,592,7/9/2023,Rental,738795
593,638,971,719,593,9/11/2020,Rental,876737
594,416,15,942,594,11/6/2022,Rental,281950
