feature_id,lot_area_sqft,no_bedrooms,no_bathrooms,no_kitchens,no_floors,parking_area_sqft,year_built,condition_rating
52,1305,2,2,1,1,136,1958,3
53,4103,5,5,2,2,756,1983,9
54,1538,3,3,2,1,,2021,2
55,4990,6,6,3,2,902,1972,2
56,2897,4,4,2,1,211,1954,5
57,3541,4,4,2,2,49,1998,2
58,1691,3,3,2,1,295,1972,1
59,3919,5,5,2,2,358,2013,9
60,3852,5,5,2,2,560,1956,3
61,3687,5,5,2,2,502,1997,3
62,2715,4,4,2,1,214,1956,6
63,705,1,1,1,1,65,1978,6
64,3912,5,5,2,2,509,1955,4
65,4450,6,6,2,2,,2018,5
66,3067,4,4,2,2,316,1978,3
67,4686,6,6,3,2,,1960,4
68,2388,4,4,2,1,440,2001,4
69,2919,,4,2,1,,1985,7
70,3797,5,5,2,2,,1965,9
71,4160,5,5,2,2,517,2017,10
72,4954,6,6,3,2,723,1952,5
73,2802,4,4,2,1,,2001,4
74,4662,6,6,3,2,254,2008,6
75,1368,2,2,1,1,146,2004,4
76,3833,,5,2,2,12,2016,4
77,945,1,1,1,1,29,1995,10
78,984,,1,1,1,75,1951,7
79,1234,2,2,1,1,195,2016,10
80,3566,4,4,2,2,152,1976,7
81,4409,6,6,2,2,827,1979,10
82,1474,3,3,1,1,209,1957,6
83,4533,6,6,3,2,452,1973,1
84,607,1,1,1,1,94,1957,8
85,2317,4,4,2,1,211,2007,3
86,1320,2,2,1,1,11,2015,1
87,2280,3,3,2,1,17,2004,10
88,1385,2,2,1,1,119,1978,6
89,2239,,3,2,1,324,1973,2
90,4818,6,6,3,2,71,1952,10
91,2406,4,4,2,1,39,2020,3
92,3518,4,4,2,2,426,1969,3
93,538,1,1,1,1,85,1951,6
94,1198,2,2,1,1,35,2003,6
95,662,1,1,1,1,61,1992,7
96,1079,2,2,1,1,3,1950,10
97,2205,3,3,2,1,83,1986,7
98,3835,,5,2,2,,1976,9
99,1712,,3,2,1,305,1968,2
100,2322,4,4,2,1,301,1991,2
101,4337,5,5,2,2,90,2017,10
102,2551,,4,2,1,168,2006,5
103,1791,3,3,2,1,83,1965,7
104,2057,3,3,2,1,367,1994,7
105,555,1,1,1,1,37,2019,3
106,544,1,1,1,1,89,1967,5
107,989,1,1,1,1,160,2000,7
108,3304,,4,2,2,557,1972,7
109,2843,,4,2,1,118,1991,10
110,1788,3,3,2,1,255,1953,7
111,4246,5,5,2,2,462,1976,1
112,3398,4,4,2,2,406,2008,3
113,3443,4,4,2,2,47,1960,4
114,4523,6,6,3,2,,1986,6
115,1631,3,3,2,1,210,2009,2
116,4350,5,5,2,2,224,2006,3
117,3512,4,4,2,2,636,1986,2
118,1775,3,3,2,1,295,1955,10
119,968,1,1,1,1,122,2009,7
120,2371,4,4,2,1,83,2013,10
121,4169,5,5,2,2,203,1953,6
122,4969,,6,3,2,480,2006,9
123,2324,4,4,2,1,410,2021,1
124,1534,3,3,2,1,,1999,10
125,2737,4,4,2,1,495,2010,5
126,2135,3,3,2,1,7,1974,3
127,751,1,1,1,1,85,2013,3
128,1470,3,3,1,1,111,2014,10
129,2425,4,4,2,1,191,2017,4
130,4223,5,5,2,2,34,1975,3
131,1945,3,3,2,1,224,1960,8
132,2410,4,4,2,1,290,1951,5
133,3297,4,4,2,2,32,1954,5
134,3581,4,4,2,2,383,1993,6
135,2125,3,3,2,1,166,1972,1
136,4339,5,5,2,2,431,2019,3
137,2949,4,4,2,1,,1976,9
138,4239,5,5,2,2,241,1988,5
139,4029,,5,2,2,287,1982,3
140,4958,6,6,3,2,788,2006,10
141,4787,6,6,3,2,319,1955,9
142,1538,3,3,2,1,304,1993,10
143,3932,5,5,2,2,3,2019,4
144,4781,6,6,3,2,526,2012,6
145,3539,4,4,2,2,319,1980,7
146,931,1,1,1,1,129,1997,9
147,3763,5,5,2,2,598,2005,3
148,1904,3,3,2,1,147,1972,10
149,3226,4,4,2,2,,2015,6
150,4478,6,6,2,2,884,2015,6
151,2541,4,4,2,1,66,1974,5
152,3431,4,4,2,2,,2014,8
153,1934,3,3,2,1,285,1990,3
154,4641,6,6,3,2,315,1981,10
155,1162,2,2,1,1,5,1985,4
156,892,1,1,1,1,170,2023,5
157,987,1,1,1,1,66,1961,3
158,1771,3,3,2,1,3,1978,2
159,4458,6,6,2,2,509,2012,3
160,3023,4,4,2,2,232,2002,7
161,3220,4,4,2,2,,2017,5
162,4810,,6,3,2,491,1971,8
163,988,1,1,1,1,103,1965,8
164,4759,6,6,3,2,718,1994,10
165,1173,2,2,1,1,10,2017,5
166,2994,4,4,2,1,249,1954,7
167,4037,5,5,2,2,666,1991,9
168,1822,3,3,2,1,140,1990,10
169,2009,3,3,2,1,38,1976,9
170,2816,4,4,2,1,231,1989,8
171,3872,5,5,2,2,37,1973,10
172,1816,,3,2,1,157,1984,5
173,4081,5,5,2,2,270,2010,10
174,773,1,1,1,1,13,2012,10
175,3122,4,4,2,2,,2020,10
176,4147,5,5,2,2,532,1968,6
177,2595,4,4,2,1,269,1979,7
178,1343,2,2,1,1,127,1953,8
179,4867,6,6,3,2,324,1964,8
180,4163,,5,2,2,433,1984,5
181,2476,4,4,2,1,120,1979,3
182,1119,2,2,1,1,160,2007,7
183,3451,,4,2,2,383,1991,5
184,3628,5,5,2,2,529,1950,4
185,4568,6,6,3,2,16,1962,6
186,1129,2,2,1,1,179,2020,8
187,3292,4,4,2,2,316,2005,4
188,4433,6,6,2,2,766,1963,8
189,686,1,1,1,1,4,1977,4
190,4772,6,6,3,2,946,1958,1
191,2881,4,4,2,1,215,1968,5
192,3031,4,4,2,2,401,2013,5
193,3785,5,5,2,2,545,1967,5
194,3690,5,5,2,2,205,1955,2
195,4375,5,5,2,2,62,2023,8
196,4553,6,6,3,2,209,2009,2
197,3654,5,5,2,2,231,1981,3
198,4192,5,5,2,2,747,1956,8
199,4215,5,5,2,2,77,2023,5
200,2142,3,3,2,1,261,1955,2
201,4358,5,5,2,2,498,1961,9
202,2030,,3,2,1,184,1965,8
203,4160,5,5,2,2,636,1967,7
204,3760,5,5,2,2,556,1963,10
205,3752,5,5,2,2,146,1950,1
206,547,1,1,1,1,43,1979,2
207,3462,4,4,2,2,124,1952,3
208,2831,4,4,2,1,443,1982,6
209,3573,,4,2,2,644,2020,3
210,2858,4,4,2,1,120,1990,9
211,2511,4,4,2,1,409,2023,5
212,827,1,1,1,1,165,2001,6
213,1795,3,3,2,1,,2023,4
214,3205,4,4,2,2,71,1971,5
215,4953,6,6,3,2,883,1975,9
216,3202,4,4,2,2,16,1970,8
217,4353,5,5,2,2,195,1952,4
218,3555,4,4,2,2,667,1989,4
219,1835,3,3,2,1,121,1995,8
220,1265,2,2,1,1,50,2018,9
221,957,1,1,1,1,72,2022,2
222,918,1,1,1,1,28,1966,3
223,3986,5,5,2,2,649,2004,1
224,1093,2,2,1,1,64,1998,4
225,893,1,1,1,1,129,1982,9
226,3591,,4,2,2,,2016,1
227,604,1,1,1,1,69,1996,4
228,2877,4,4,2,1,265,2015,8
229,2627,4,4,2,1,386,1975,1
230,1262,2,2,1,1,234,1951,1
231,4042,5,5,2,2,,1996,8
232,2779,4,4,2,1,87,1985,3
233,1667,3,3,2,1,230,1987,6
234,3046,,4,2,2,59,1992,9
235,1910,3,3,2,1,107,1972,5
236,923,1,1,1,1,82,2011,7
237,3869,5,5,2,2,,2001,3
238,2846,4,4,2,1,275,2023,1
239,577,1,1,1,1,23,2013,1
240,4114,5,5,2,2,473,1959,10
241,1473,3,3,1,1,221,1952,9
242,3848,5,5,2,2,687,2019,8
243,2390,4,4,2,1,128,1967,9
244,1775,3,3,2,1,144,2013,8
245,1622,3,3,2,1,203,1957,7
246,1320,2,2,1,1,195,1995,3
247,2570,,4,2,1,222,1979,7
248,3933,,5,2,2,182,1965,5
249,2227,3,3,2,1,313,1996,3
250,4341,5,5,2,2,218,2010,9
251,2952,4,4,2,1,,2016,8
252,2428,4,4,2,1,207,1974,8
253,4375,,5,2,2,701,1950,2
254,4576,6,6,3,2,,2006,5
255,4220,5,5,2,2,667,2023,3
256,4081,5,5,2,2,633,1993,6
257,2813,4,4,2,1,108,1995,8
258,4769,,6,3,2,,2008,3
259,2693,4,4,2,1,535,2014,6
260,4254,5,5,2,2,321,1950,9
261,2630,4,4,2,1,433,1995,1
262,1671,3,3,2,1,84,1999,9
263,2283,3,3,2,1,127,2014,10
264,2301,4,4,2,1,251,2009,7
265,3487,4,4,2,2,244,1960,6
266,4494,6,6,2,2,430,1989,1
267,4269,5,5,2,2,600,1963,1
268,3682,5,5,2,2,475,1980,5
269,2187,3,3,2,1,194,1991,8
270,2563,4,4,2,1,411,1967,10
271,1401,,3,1,1,,1987,2
272,4618,6,6,3,2,23,1993,8
273,1765,3,3,2,1,221,2002,7
274,4827,,6,3,2,311,2009,2
275,3578,4,4,2,2,635,1950,6
276,1249,2,2,1,1,144,2017,4
277,1844,3,3,2,1,360,1986,6
278,4668,,6,3,2,109,1959,4
279,3819,5,5,2,2,111,1986,10
280,4841,6,6,3,2,467,1958,8
281,3616,5,5,2,2,355,1983,8
282,2773,4,4,2,1,529,2004,9
283,2137,3,3,2,1,,1997,10
284,3540,4,4,2,2,583,1959,10
285,4824,6,6,3,2,,1996,2
286,2246,3,3,2,1,422,2010,4
287,786,1,1,1,1,63,2023,6
288,3668,,5,2,2,678,1997,7
289,2880,4,4,2,1,11,1976,10
290,3025,4,4,2,2,170,2008,2
291,4559,6,6,3,2,570,1960,5
292,4952,6,6,3,2,909,2000,8
293,4789,6,6,3,2,359,1976,8
294,1346,2,2,1,1,29,2004,5
295,4259,,5,2,2,654,2012,1
296,4499,6,6,2,2,726,1956,7
297,2428,4,4,2,1,80,1982,3
298,589,1,1,1,1,30,1976,4
299,4740,6,6,3,2,719,1967,7
300,2126,3,3,2,1,247,1977,7
301,4349,5,5,2,2,830,2010,5
302,3410,4,4,2,2,53,1978,7
303,1303,2,2,1,1,1,1992,8
304,1136,2,2,1,1,13,1986,8
305,1245,2,2,1,1,15,1953,10
306,1502,3,3,2,1,83,1966,5
307,1845,3,3,2,1,276,1957,3
308,3320,4,4,2,2,,1972,5
309,705,1,1,1,1,,1994,2
310,4671,,6,3,2,474,1973,10
311,3431,4,4,2,2,,2001,8
312,623,1,1,1,1,68,1960,10
313,947,,1,1,1,166,1960,3
314,1749,3,3,2,1,203,1955,3
315,2097,3,3,2,1,260,2018,4
316,782,,1,1,1,,2015,6
317,3248,4,4,2,2,422,1969,10
318,2779,4,4,2,1,339,1970,4
319,3661,5,5,2,2,714,1984,6
320,4040,5,5,2,2,,2018,6
321,1085,2,2,1,1,129,2014,1
322,4402,6,6,2,2,345,1953,2
323,3041,4,4,2,2,246,1976,7
324,1535,,3,2,1,51,1971,7
325,3246,4,4,2,2,274,1978,4
326,3570,,4,2,2,370,2014,5
327,807,1,1,1,1,91,1998,5
328,3670,5,5,2,2,43,1950,9
329,1769,3,3,2,1,215,2013,7
330,2398,4,4,2,1,121,1964,7
331,888,1,1,1,1,,2009,3
332,2416,4,4,2,1,4,2011,9
333,1061,2,2,1,1,72,1969,9
334,1382,2,2,1,1,210,2006,8
335,3098,4,4,2,2,613,1983,9
336,4931,6,6,3,2,418,1958,7
337,1106,2,2,1,1,33,2009,1
338,2058,3,3,2,1,292,1979,5
339,4912,6,6,3,2,409,1995,2
340,2678,4,4,2,1,136,2015,1
341,3575,4,4,2,2,313,1974,4
342,1960,3,3,2,1,127,2014,10
343,2218,3,3,2,1,,1994,5
344,1420,3,3,1,1,67,1956,8
345,1651,,3,2,1,16,2020,2
346,4415,6,6,2,2,144,1994,2
347,519,,1,1,1,12,1967,5
348,3728,5,5,2,2,513,1997,7
349,2592,4,4,2,1,365,1981,5
350,3320,4,4,2,2,341,1981,3
351,1077,2,2,1,1,158,2018,1
352,3840,5,5,2,2,705,1975,8
353,3588,4,4,2,2,362,1983,8
354,1503,3,3,2,1,153,1974,4
355,2463,4,4,2,1,184,1991,7
356,2834,4,4,2,1,423,1990,1
357,2922,4,4,2,1,481,1966,8
358,3397,,4,2,2,370,1963,7
359,2791,4,4,2,1,16,1950,1
360,969,1,1,1,1,125,1950,2
361,2607,4,4,2,1,134,1952,3
362,4403,,6,2,2,698,1976,4
363,4885,6,6,3,2,459,1957,5
364,1228,2,2,1,1,127,1977,5
365,3882,5,5,2,2,567,1983,7
366,513,1,1,1,1,57,1961,5
367,4087,5,5,2,2,597,1960,5
368,1668,3,3,2,1,265,1987,1
369,3909,5,5,2,2,713,1977,6
370,1998,3,3,2,1,245,1984,1
371,576,1,1,1,1,110,1965,10
372,1693,3,3,2,1,180,1992,1
373,4625,6,6,3,2,432,1966,6
374,2317,4,4,2,1,59,1972,2
375,848,1,1,1,1,27,1966,1
376,2487,4,4,2,1,1,1973,2
377,519,1,1,1,1,71,2002,4
378,3615,5,5,2,2,107,1955,4
379,4861,6,6,3,2,739,2013,8
380,1548,3,3,2,1,50,1984,1
381,843,1,1,1,1,32,2013,8
382,1444,3,3,1,1,115,1965,5
383,577,1,1,1,1,,1999,2
384,3626,5,5,2,2,294,1994,6
385,3841,5,5,2,2,734,1980,8
386,2681,4,4,2,1,358,2005,1
387,673,,1,1,1,71,2000,10
388,4513,,6,3,2,745,1984,10
389,2844,4,4,2,1,52,1968,1
390,2230,3,3,2,1,78,1957,2
391,3804,5,5,2,2,345,1951,6
392,4029,5,5,2,2,196,1968,6
393,3846,5,5,2,2,73,2006,1
394,2990,4,4,2,1,517,1965,8
395,4430,6,6,2,2,709,1997,9
396,3719,5,5,2,2,84,2012,9
397,1399,2,2,1,1,132,1990,8
398,1590,3,3,2,1,166,2007,2
399,2953,4,4,2,1,288,1981,7
400,3688,,5,2,2,641,2023,5
401,2667,4,4,2,1,23,1997,2
402,4370,5,5,2,2,747,1954,9
403,1443,3,3,1,1,200,2013,5
404,763,1,1,1,1,146,2023,4
405,4421,6,6,2,2,796,2018,3
406,4025,5,5,2,2,657,1993,6
407,4555,6,6,3,2,89,1980,6
408,777,,1,1,1,118,1951,4
409,4795,6,6,3,2,833,1993,3
410,2298,3,3,2,1,407,1974,3
411,3850,5,5,2,2,603,1964,9
412,4556,6,6,3,2,824,1993,5
413,3422,4,4,2,2,464,1970,6
414,581,1,1,1,1,0,1952,2
415,4545,6,6,3,2,523,2006,6
416,4337,5,5,2,2,663,1962,9
417,4117,5,5,2,2,692,1992,7
418,4328,5,5,2,2,808,1955,5
419,2473,,4,2,1,,2009,7
420,2579,4,4,2,1,14,1991,9
421,1654,,3,2,1,245,1979,10
422,1965,3,3,2,1,335,1974,5
423,4888,6,6,3,2,152,2022,9
424,2846,4,4,2,1,302,2021,6
425,2256,3,3,2,1,67,1988,8
426,3189,4,4,2,2,95,1977,4
427,2517,4,4,2,1,21,2011,5
428,665,1,1,1,1,38,2013,4
429,939,1,1,1,1,95,2004,7
430,3491,4,4,2,2,291,2014,6
431,1420,3,3,1,1,36,1990,2
432,1184,,2,1,1,154,1981,6
433,2561,4,4,2,1,187,1990,10
434,1712,3,3,2,1,108,1984,7
435,2163,3,3,2,1,,2009,2
436,771,1,1,1,1,78,1951,1
437,1172,2,2,1,1,176,1982,2
438,4403,6,6,2,2,410,1986,2
439,2713,4,4,2,1,211,2005,8
440,2991,4,4,2,1,358,1967,9
441,3568,4,4,2,2,72,1955,6
442,1846,3,3,2,1,70,2003,3
443,3997,5,5,2,2,386,2003,1
444,3074,4,4,2,2,,1955,6
445,4612,6,6,3,2,620,1966,9
446,4379,5,5,2,2,369,2001,8
447,3233,4,4,2,2,,1951,5
448,2289,3,3,2,1,345,2015,5
449,649,1,1,1,1,19,1985,1
450,4756,6,6,3,2,390,1952,9
451,3864,5,5,2,2,176,1977,3
452,4112,,5,2,2,815,1959,6
453,3444,4,4,2,2,226,2021,6
454,4098,5,5,2,2,,1970,8
455,1525,3,3,2,1,64,2020,9
456,3545,4,4,2,2,442,1963,9
457,4225,5,5,2,2,423,1998,5
458,3840,5,5,2,2,676,2002,5
459,1267,2,2,1,1,164,1969,10
460,2707,4,4,2,1,45,1984,6
461,3292,4,4,2,2,301,2005,8
462,4814,6,6,3,2,903,1951,3
463,1947,3,3,2,1,237,2018,8
464,2949,4,4,2,1,443,1972,2
465,1117,2,2,1,1,204,1985,8
466,1426,3,3,1,1,134,2021,10
467,2571,4,4,2,1,252,2013,8
468,4497,6,6,2,2,857,1982,5
469,607,1,1,1,1,56,1957,8
470,3166,4,4,2,2,388,1979,8
471,4186,5,5,2,2,530,1973,5
472,4038,5,5,2,2,241,2016,7
473,2300,4,4,2,1,235,1993,4
474,1910,3,3,2,1,350,2018,6
475,1299,2,2,1,1,,1957,8
476,4698,6,6,3,2,,1959,6
477,1473,3,3,1,1,204,2010,1
478,2474,4,4,2,1,178,1993,5
479,2988,4,4,2,1,291,1980,10
480,4622,6,6,3,2,,1987,3
481,989,1,1,1,1,192,1964,6
482,4106,5,5,2,2,216,1951,6
483,1449,3,3,1,1,63,2021,3
484,2923,4,4,2,1,362,1955,1
485,1956,3,3,2,1,339,1974,5
486,4249,5,5,2,2,467,2013,3
487,3112,4,4,2,2,293,2008,9
488,1410,3,3,1,1,233,1965,10
489,714,1,1,1,1,,1988,9
490,3839,5,5,2,2,,1971,4
491,3499,4,4,2,2,319,1999,4
492,2840,4,4,2,1,188,2018,3
493,4387,5,5,2,2,203,1996,1
494,2865,4,4,2,1,217,1982,9
495,4947,6,6,3,2,526,2006,7
496,4222,5,5,2,2,113,2000,2
497,4085,5,5,2,2,271,1958,4
498,3882,5,5,2,2,770,2008,1
499,2066,3,3,2,1,295,2001,5
500,4550,6,6,3,2,,1956,7
501,2906,4,4,2,1,,1993,6
502,2546,4,4,2,1,185,1973,10
503,4405,,6,2,2,109,1977,2
504,3216,4,4,2,2,30,1964,1
505,2296,3,3,2,1,310,2009,1
506,3278,4,4,2,2,622,1982,5
507,3029,4,4,2,2,158,2011,7
508,4367,5,5,2,2,826,2009,10
509,4725,6,6,3,2,484,1966,7
510,2101,3,3,2,1,358,1958,6
511,3795,5,5,2,2,627,1958,3
512,2040,3,3,2,1,227,1961,2
513,3890,5,5,2,2,482,1990,7
514,4407,6,6,2,2,375,1975,9
515,3934,5,5,2,2,760,2019,4
516,4682,6,6,3,2,237,1969,4
517,4103,5,5,2,2,148,1977,3
518,3622,5,5,2,2,244,1983,2
519,1061,2,2,1,1,27,1985,10
520,4392,5,5,2,2,313,2011,1
521,2894,,4,2,1,,1955,4
522,4871,6,6,3,2,361,2018,7
523,2155,3,3,2,1,220,1957,10
524,3401,4,4,2,2,355,1968,4
525,3597,4,4,2,2,500,1962,1
526,2527,4,4,2,1,213,1990,10
527,4084,5,5,2,2,,1996,6
528,3237,4,4,2,2,636,1996,3
529,3814,5,5,2,2,717,1993,5
530,652,1,1,1,1,121,2015,6
531,3460,4,4,2,2,25,1998,1
532,4950,6,6,3,2,712,1985,10
533,576,1,1,1,1,52,1990,5
534,1259,,2,1,1,14,1965,10
535,4696,6,6,3,2,214,1960,5
536,1469,3,3,1,1,95,1968,6
537,824,1,1,1,1,100,1969,1
538,3934,5,5,2,2,453,2015,2
539,1218,,2,1,1,77,1992,3
540,1387,2,2,1,1,112,1977,9
541,2972,4,4,2,1,462,1990,2
542,2658,4,4,2,1,506,2019,10
543,685,1,1,1,1,68,2000,10
544,3073,4,4,2,2,99,1968,3
545,3601,5,5,2,2,61,1957,9
546,4538,6,6,3,2,643,1996,2
547,3590,4,4,2,2,382,2002,9
548,3705,5,5,2,2,687,2011,2
549,1033,2,2,1,1,143,1960,9
550,4812,6,6,3,2,811,2011,4
551,3148,,4,2,2,228,1952,1
552,3214,4,4,2,2,458,1959,7
553,1687,,3,2,1,20,1988,1
554,1819,3,3,2,1,46,2020,3
555,4918,6,6,3,2,163,1957,1
556,2646,4,4,2,1,176,1951,4
557,3914,5,5,2,2,290,1983,2
558,4459,6,6,2,2,661,1979,1
559,2619,4,4,2,1,320,2003,9
560,2573,4,4,2,1,512,2020,6
561,4837,6,6,3,2,,1955,1
562,2818,4,4,2,1,430,1995,4
563,1017,,2,1,1,179,2020,6
564,847,1,1,1,1,168,1965,6
565,2943,4,4,2,1,480,1970,8
566,4060,5,5,2,2,709,2018,5
567,3935,5,5,2,2,321,1964,5
568,3255,4,4,2,2,615,1978,5
569,3108,4,4,2,2,,1982,7
570,4543,6,6,3,2,712,2020,6
571,1234,2,2,1,1,49,1982,10
572,4122,5,5,2,2,766,1995,4
573,1451,,3,1,1,,1980,8
574,2122,3,3,2,1,325,2010,5
575,4825,6,6,3,2,509,1992,1
576,1913,3,3,2,1,321,2014,6
577,2003,3,3,2,1,192,1988,9
578,4057,5,5,2,2,577,1977,1
579,925,1,1,1,1,90,1967,5
580,4682,6,6,3,2,766,1971,1
581,3763,5,5,2,2,342,1988,2
582,1480,3,3,1,1,201,1958,8
583,4791,6,6,3,2,477,1970,7
584,1776,3,3,2,1,197,2019,3
585,2352,,4,2,1,,1996,8
586,1962,3,3,2,1,170,1970,6
587,2040,3,3,2,1,57,1981,4
588,2225,3,3,2,1,162,1974,7
589,3208,4,4,2,2,239,1986,6
590,3944,5,5,2,2,481,2006,6
591,4809,6,6,3,2,,2015,8
592,4750,6,6,3,2,92,1972,8
593,3699,5,5,2,2,368,1982,7
594,1753,3,3,2,1,297,1978,6
595,2230,3,3,2,1,445,1998,1
596,2229,3,3,2,1,404,1967,10
597,3905,5,5,2,2,609,1957,3
598,1500,3,3,2,1,155,1972,1
599,2719,4,4,2,1,414,1975,7
600,4528,6,6,3,2,249,2018,1
601,840,1,1,1,1,131,1990,2
602,2105,3,3,2,1,407,2003,6
603,676,1,1,1,1,127,2009,2
604,1271,2,2,1,1,29,1960,10
605,4250,5,5,2,2,830,2018,9
606,2695,4,4,2,1,11,1986,5
607,3683,5,5,2,2,530,1971,4
608,2847,4,4,2,1,329,2002,2
609,2143,3,3,2,1,259,2016,3
610,3564,4,4,2,2,595,2019,1
611,2869,4,4,2,1,309,1958,7
612,4842,6,6,3,2,387,1986,4
613,1551,3,3,2,1,,1977,6
614,3464,4,4,2,2,200,1988,6
615,4310,5,5,2,2,493,1964,2
616,2096,3,3,2,1,13,2010,4
617,551,1,1,1,1,90,1955,6
618,3114,4,4,2,2,529,2007,3
619,3794,5,5,2,2,268,1997,8
620,1495,3,3,1,1,245,1987,9
621,2733,4,4,2,1,7,2010,5
622,1555,3,3,2,1,303,2011,2
623,2450,4,4,2,1,450,1981,7
624,2773,4,4,2,1,111,1959,1
625,4579,6,6,3,2,,1977,4
626,3565,4,4,2,2,640,1970,9
627,1479,3,3,1,1,96,1999,8
628,4572,6,6,3,2,281,2005,9
629,731,1,1,1,1,95,2015,2
630,1419,3,3,1,1,281,1996,10
631,1886,3,3,2,1,,2018,9
632,2035,3,3,2,1,245,2015,10
633,4905,6,6,3,2,421,1996,8
634,3731,5,5,2,2,131,1986,1
635,3192,4,4,2,2,550,1964,2
636,2322,4,4,2,1,436,2014,3
637,3624,5,5,2,2,135,1981,1
638,3645,5,5,2,2,195,1951,3
639,2165,3,3,2,1,340,2008,1
640,3767,5,5,2,2,174,2012,5
641,3976,5,5,2,2,138,2019,1
642,4091,5,5,2,2,119,2003,6
643,2429,,4,2,1,316,1968,5
644,4734,6,6,3,2,62,2010,10
645,4176,5,5,2,2,290,1990,2
646,2477,4,4,2,1,120,1972,5
647,1428,3,3,1,1,114,2017,4
648,4748,6,6,3,2,287,1956,3
649,1529,3,3,2,1,17,1963,2
650,1867,3,3,2,1,94,2009,5
651,3610,5,5,2,2,681,1976,3
652,4354,5,5,2,2,527,2017,6
653,3959,5,5,2,2,552,2001,8
654,1102,2,2,1,1,190,1989,4
655,3701,5,5,2,2,,2019,6
656,1139,2,2,1,1,14,2005,10
657,1790,3,3,2,1,309,2006,6
658,4792,6,6,3,2,88,1996,6
659,2268,3,3,2,1,319,1956,3
660,2658,4,4,2,1,43,2014,5
661,4115,5,5,2,2,,1955,9
662,3200,4,4,2,2,369,1953,7
663,2151,3,3,2,1,397,1994,6
664,2255,3,3,2,1,,1988,10
665,539,1,1,1,1,84,1974,4
666,4881,6,6,3,2,81,1989,1
667,1047,2,2,1,1,152,1999,6
668,3129,4,4,2,2,318,2017,7
669,2933,4,4,2,1,560,1986,4
670,2855,4,4,2,1,198,1992,3
671,3195,4,4,2,2,15,1968,7
672,2921,4,4,2,1,220,1971,4
673,4922,6,6,3,2,110,2020,2
674,4169,5,5,2,2,368,1978,7
675,3328,,4,2,2,184,1973,8
676,2257,,3,2,1,,1997,3
677,4545,6,6,3,2,448,2013,9
678,759,1,1,1,1,133,2023,9
679,3387,4,4,2,2,315,1988,3
680,2437,,4,2,1,129,1964,8
681,4781,6,6,3,2,341,1991,2
682,2127,3,3,2,1,388,1994,10
683,4143,5,5,2,2,415,1953,10
684,713,1,1,1,1,,1991,8
685,3136,4,4,2,2,608,1960,9
686,1991,3,3,2,1,173,1985,3
687,1076,2,2,1,1,166,1987,9
688,3910,5,5,2,2,583,2022,3
689,3064,4,4,2,2,89,2022,9
690,1176,2,2,1,1,148,1967,3
691,2571,4,4,2,1,141,1980,4
692,2354,4,4,2,1,310,1964,6
693,2173,3,3,2,1,10,2018,9
694,3032,4,4,2,2,53,2014,7
695,4110,5,5,2,2,157,1993,4
696,3225,4,4,2,2,575,2002,9
697,4231,5,5,2,2,658,1989,6
698,1105,2,2,1,1,67,1987,7
699,3044,4,4,2,2,375,1997,2
700,4359,5,5,2,2,223,2019,8
701,2258,3,3,2,1,262,1973,4
702,2298,3,3,2,1,283,1998,1
703,3889,5,5,2,2,9,1993,3
704,1990,3,3,2,1,254,2020,2
