TransactionID,Date,Year,Quarter,Month,Week,Day,State,City,ZipCode,Gender,AgeCat,AgentSince,Position,LotArea,Bedrooms,Bathrooms,Kitchens,Floors,ParkingArea,BuiltSince,Condition,ListingType,NumVisits,MaintenanceExp,AskedAmount,TransactionValue,CommissionRate,CommissionValue,NegotiationDays,ClosingDays
38,2023-02-15,2023,1,2,7,15,Texas,Houston,77240,Female,Middle Aged,3,Leasing Consultant,4162,5,5,2,2,805,65,Average,Sale,0,0,192327.0,159229.0,2.5,45885.0,0,467
39,2023-10-17,2023,4,10,42,17,California,North Hollywood,91616,Male,Adult,1,Leasing Consultant,3431,4,4,2,2,319,10,Excellent,Rental,0,0,472284.0,741057.0,2.2,18169.0,0,40
40,2023-04-15,2023,2,4,15,15,New York,New Hyde Park,11044,Female,Adult,5,Real Estate Agent,2773,4,4,2,1,111,65,Poor,Rental,1,8579,673090.0,988065.0,5.8,49828.0,13,0
41,2022-09-15,2022,3,9,37,15,Arizona,Phoenix,85020,Male,Adult,4,Leasing Consultant,4740,6,6,3,2,719,57,Average,Sale,1,2492,667629.0,248923.0,4.0,15735.0,27,0
42,2023-12-06,2023,4,12,49,6,Texas,San Antonio,78255,Male,Adult,2,Broker Associate,977,1,1,1,1,113,71,Average,Rental,2,0,154191.0,855571.0,4.9,22785.0,80,848
43,2022-08-02,2022,3,8,31,2,North Carolina,Raleigh,27690,Male,Adult,1,Leasing Consultant,2806,4,4,2,1,77,60,Average,Rental,1,4622,614371.0,887071.0,5.4,25304.0,145,1300
44,2021-04-02,2021,2,4,14,2,Arizona,Mesa,85210,Male,Middle Aged,2,Leasing Consultant,3114,4,4,2,2,529,17,Poor,Sale,1,0,896368.0,270896.0,5.8,35187.0,105,226
45,2021-04-07,2021,2,4,14,7,Texas,Fort Worth,76105,Female,Adult,1,Listing Coordinator,653,1,1,1,1,64,45,Average,Sale,2,0,126172.0,264189.0,5.0,1370.0,66,166
46,2022-02-28,2022,1,2,9,28,Alabama,Gadsden,35905,Female,Middle Aged,4,Broker Associate,797,1,1,1,1,52,52,Average,Sale,2,8965,595328.0,984819.0,3.9,6761.0,42,609
47,2023-10-26,2023,4,10,43,26,Georgia,Columbus,31998,Male,Middle Aged,5,Property Manager,581,1,1,1,1,0,72,Poor,Rental,2,723,347752.0,258019.0,5.3,6320.0,63,261
48,2022-10-19,2022,4,10,42,19,Virginia,Richmond,23228,Female,Senior,5,Real Estate Agent,1474,3,3,1,1,209,67,Average,Sale,1,9424,369776.0,990639.0,5.0,25849.0,10,0
49,2022-10-16,2022,4,10,42,16,Minnesota,Saint Paul,55108,Male,Middle Aged,5,Property Manager,997,1,1,1,1,77,70,Average,Sale,2,10053,950664.0,710933.0,2.6,43910.0,67,1361
50,2021-03-14,2021,1,3,11,14,Michigan,Grand Rapids,49560,Female,Adult,2,Property Manager,1864,3,3,2,1,139,14,Excellent,Rental,0,6465,580597.0,702666.0,2.6,15128.0,0,63
51,2022-08-27,2022,3,8,35,27,Texas,El Paso,79994,Female,Senior,1,Real Estate Agent,4842,6,6,3,2,387,38,Average,Rental,1,0,930771.0,218406.0,4.2,35212.0,105,1127
52,2023-10-09,2023,4,10,41,9,South Dakota,Sioux Falls,57105,Male,Adult,3,Property Manager,3919,5,5,2,2,358,11,Excellent,Rental,0,6200,568383.0,460707.0,2.2,27431.0,0,0
53,2021-04-12,2021,2,4,15,12,West Virginia,Morgantown,26505,Male,Adult,5,Property Manager,3979,5,5,2,2,418,54,Average,Rental,0,9138,454639.6,638022.0,5.9,12320.0,0,290
54,2021-05-28,2021,2,5,22,28,Texas,Houston,77030,Female,Middle Aged,5,Property Manager,3693,5,5,2,2,40,1,Excellent,Sale,1,0,418840.0,165741.0,3.5,16318.0,41,0
55,2021-03-23,2021,1,3,12,23,Texas,Austin,78764,Male,Adult,4,Broker Associate,3208,4,4,2,2,239,38,Average,Sale,1,12130,392873.0,603626.0,5.8,25411.0,74,0
56,2022-10-31,2022,4,10,44,31,Arkansas,Fort Smith,72916,Female,Senior,4,Leasing Consultant,840,1,1,1,1,131,34,Poor,Rental,2,0,908188.0,408291.0,5.0,3930.0,62,539
57,2021-04-10,2021,2,4,15,10,New Jersey,Elizabeth,7208,Female,Senior,1,Broker Associate,3220,4,4,2,2,198,7,Average,Sale,0,9541,523599.0,677617.0,5.6,790.0,0,782
58,2022-10-31,2022,4,10,44,31,Tennessee,Memphis,38197,Female,Adult,2,Property Manager,3701,5,5,2,2,267,5,Average,Sale,1,6257,454621.0,411878.0,3.8,48129.0,102,252
59,2023-12-17,2023,4,12,51,17,Virginia,Norfolk,16327,Male,Senior,3,Leasing Consultant,3443,4,4,2,2,47,64,Average,Sale,0,0,380761.0,600320.0,5.9,7698.0,0,849
60,2021-07-15,2021,3,7,28,15,Florida,Bradenton,34210,Female,Adult,4,Listing Coordinator,2994,4,4,2,1,249,70,Average,Sale,1,3483,238063.0,624797.0,5.798203256417684,36227.0,93,558
61,2021-08-20,2021,3,8,34,20,California,Palmdale,93591,Male,Middle Aged,2,Real Estate Agent,3610,5,5,2,2,681,48,Poor,Sale,1,717,141453.0,178307.0,3.9,19489.0,45,0
62,2023-04-04,2023,2,4,14,4,North Carolina,Greensboro,27415,Female,Senior,1,Broker Associate,4221,5,5,2,2,368,38,Average,Rental,2,8166,286513.0,551536.0,4.5,30100.0,112,266
63,2021-01-10,2021,1,1,2,10,Texas,Lubbock,79452,Male,Middle Aged,5,Real Estate Agent,3121,4,4,2,2,493,17,Poor,Rental,1,3932,201559.0,283087.0,5.1,24669.0,173,103
64,2023-11-20,2023,4,11,47,20,Ohio,Cincinnati,45296,Male,Adult,2,Listing Coordinator,827,1,1,1,1,165,23,Average,Sale,0,6157,815638.0,505592.0,3.1,47608.0,0,243
65,2022-04-14,2022,2,4,15,14,California,Los Angeles,90076,Male,Middle Aged,4,Broker Associate,4572,6,6,3,2,281,19,Excellent,Sale,1,7645,704662.0,893651.0,4.2,7437.0,83,5
66,2023-07-01,2023,3,7,26,1,Pennsylvania,Valley Forge,19495,Male,Adult,3,Broker Associate,2477,4,4,2,1,120,52,Average,Rental,1,0,942432.0,607950.0,3.0,27727.0,7,520
67,2021-03-15,2021,1,3,11,15,California,San Jose,95150,Female,Middle Aged,2,Property Manager,3098,4,4,2,2,613,41,Excellent,Sale,2,0,260519.0,905531.0,5.6,17485.0,43,0
68,2021-07-10,2021,3,7,28,10,New York,Albany,12262,Male,Middle Aged,3,Listing Coordinator,2541,4,4,2,1,66,50,Average,Rental,2,9155,377626.0,655321.0,5.7,44170.0,106,46
69,2022-10-23,2022,4,10,43,23,Florida,Orlando,32819,Male,Middle Aged,2,Property Manager,4169,5,5,2,2,203,71,Average,Sale,1,3834,814513.0,286213.0,3.9,9374.0,40,1079
70,2023-09-16,2023,3,9,37,16,Michigan,Detroit,48267,Male,Middle Aged,3,Real Estate Agent,4559,6,6,3,2,570,64,Average,Sale,0,959,997212.0,573796.0,4.2,28065.0,0,508
71,2023-05-20,2023,2,5,20,20,California,Los Angeles,90071,Female,Middle Aged,2,Real Estate Agent,2748,4,4,2,1,25,47,Average,Sale,0,2628,89946.0,752234.0,4.4,49148.0,0,929
72,2021-06-21,2021,2,6,25,21,Nevada,North Las Vegas,89036,Male,Adult,5,Real Estate Agent,1757,3,3,2,1,337,17,Excellent,Rental,1,2104,900250.0,243175.0,4.5,45666.0,10,0
73,2023-05-28,2023,2,5,22,28,Iowa,Des Moines,50330,Female,Middle Aged,1,Listing Coordinator,3570,4,4,2,2,370,10,Average,Sale,2,991,554706.0,197314.0,20.415682617553745,40283.0,159,420
74,2023-09-15,2023,3,9,37,15,Florida,Lake Worth,33467,Male,Senior,5,Real Estate Agent,2165,3,3,2,1,340,16,Poor,Sale,1,6166,252409.0,604437.0,3.7,30394.0,159,976
75,2021-12-17,2021,4,12,51,17,Texas,Houston,77245,Male,Adult,2,Real Estate Agent,3688,5,5,2,2,641,1,Average,Sale,3,8949,258971.0,770633.0,4.5,41425.0,139,95
76,2021-03-06,2021,1,3,10,6,Colorado,Englewood,80150,Male,Adult,1,Property Manager,1061,2,2,1,1,66,19,Average,Rental,1,8940,259865.0,189023.0,4.8,41859.0,60,262
77,2023-06-04,2023,2,6,23,4,Oregon,Eugene,97405,Female,Senior,3,Broker Associate,1346,2,2,1,1,154,13,Poor,Rental,0,0,899985.0,178547.0,4.6,1348.0,0,0
78,2021-03-09,2021,1,3,10,9,Illinois,Chicago,60691,Female,Senior,5,Leasing Consultant,1033,2,2,1,1,143,64,Excellent,Rental,0,7318,644729.0,861735.0,2.2,45127.0,0,0
79,2021-09-20,2021,3,9,38,20,Arizona,Phoenix,85077,Male,Middle Aged,4,Leasing Consultant,4791,6,6,3,2,477,54,Average,Sale,2,5137,20497.0,261015.0,4.7,7487.0,108,138
80,2021-12-20,2021,4,12,51,20,Louisiana,Baton Rouge,70815,Female,Senior,1,Leasing Consultant,4405,5,6,2,2,109,47,Poor,Sale,1,2760,795333.0,646732.0,4.3,6906.0,139,95
81,2022-10-08,2022,4,10,41,8,Florida,Pensacola,32575,Male,Adult,4,Leasing Consultant,2173,3,3,2,1,10,6,Excellent,Sale,1,9743,687632.0,371588.0,4.4,5737.0,113,198
82,2021-09-14,2021,3,9,37,14,Washington,Seattle,98166,Male,Adult,1,Leasing Consultant,2473,4,4,2,1,114,15,Average,Rental,2,338,248781.0,405713.0,2.2,30449.0,147,54
83,2023-03-03,2023,1,3,9,3,Florida,Orlando,32819,Male,Adult,4,Broker Associate,4641,6,6,3,2,315,43,Excellent,Sale,1,0,132999.0,315758.0,2.8,24550.0,141,1185
84,2023-12-12,2023,4,12,50,12,Iowa,Des Moines,50936,Male,Middle Aged,2,Listing Coordinator,2097,3,3,2,1,260,6,Average,Sale,0,7533,297305.0,733442.0,4.1,33578.0,0,791
85,2022-03-21,2022,1,3,12,21,North Carolina,Greensboro,27499,Male,Middle Aged,5,Real Estate Agent,4458,6,6,2,2,509,12,Poor,Sale,2,9852,275460.0,661504.0,2.4,27691.0,138,0
86,2023-01-08,2023,1,1,2,8,Texas,Dallas,75392,Female,Adult,3,Real Estate Agent,3935,5,5,2,2,340,9,Excellent,Sale,1,0,142030.0,850060.0,3.3,12381.0,182,511
87,2021-02-28,2021,1,2,9,28,Oklahoma,Oklahoma City,73179,Female,Senior,1,Broker Associate,1775,3,3,2,1,144,11,Excellent,Rental,1,18165,216078.0,231613.0,3.6,39086.0,8,0
88,2022-08-01,2022,3,8,31,1,Texas,Amarillo,79165,Female,Middle Aged,4,Broker Associate,4057,5,5,2,2,577,47,Poor,Sale,1,0,547198.0,579546.0,3.9,29224.0,88,796
89,2023-09-08,2023,3,9,36,8,Arkansas,North Little Rock,72199,Female,Middle Aged,4,Listing Coordinator,1449,3,3,1,1,63,3,Poor,Sale,1,10284,772500.0,814222.0,5.4,11650.0,152,24
90,2023-07-22,2023,3,7,29,22,Maryland,Silver Spring,20910,Male,Middle Aged,5,Real Estate Agent,1303,2,2,1,1,1,32,Excellent,Sale,1,9331,303103.0,224015.0,2.7962413231256837,6264.0,79,1412
91,2023-03-30,2023,1,3,13,30,Maryland,Bowie,20719,Male,Adult,1,Real Estate Agent,2824,4,4,2,1,154,61,Average,Sale,2,9817,72463.0,203070.0,2.7,30051.0,10,182
92,2021-09-16,2021,3,9,37,16,North Carolina,Charlotte,28220,Female,Middle Aged,5,Listing Coordinator,1500,3,3,2,1,155,52,Poor,Sale,1,12262,289539.0,426131.0,7.26584078604936,30962.0,48,0
93,2023-06-23,2023,2,6,25,23,New York,New York City,10014,Male,Middle Aged,1,Broker Associate,534,1,1,1,1,1,32,Excellent,Sale,0,5598,750587.0,608791.0,5.5,17890.0,0,1355
94,2021-10-08,2021,4,10,41,8,Arizona,Phoenix,85010,Female,Middle Aged,2,Leasing Consultant,3573,4,4,2,2,644,4,Poor,Rental,1,5563,299692.4,261322.0,4.9,38895.0,137,913
95,2022-05-12,2022,2,5,19,12,Kentucky,London,40745,Male,Adult,4,Listing Coordinator,1612,3,3,2,1,211,17,Average,Rental,0,6551,666868.0,441169.0,5.9,25494.0,0,0
96,2021-04-11,2021,2,4,15,11,California,Van Nuys,91406,Male,Adult,4,Leasing Consultant,1947,3,3,2,1,237,6,Excellent,Sale,1,12070,179874.0,379635.0,3.9,33254.0,143,151
97,2021-03-28,2021,1,3,13,28,District of Columbia,Washington,20238,Male,Adult,4,Real Estate Agent,1176,2,2,1,1,148,57,Poor,Rental,0,0,162595.0,410792.0,3.3,12854.0,0,0
98,2021-07-24,2021,3,7,30,24,Louisiana,New Orleans,70160,Male,Senior,1,Broker Associate,2943,4,4,2,1,480,54,Excellent,Sale,0,0,168459.0,478464.0,3.1,48910.0,0,756
99,2023-09-07,2023,3,9,36,7,Kansas,Shawnee Mission,66225,Female,Middle Aged,5,Real Estate Agent,1876,3,3,2,1,365,36,Poor,Sale,0,4221,318598.0,266155.0,2.5,7987.0,0,1025
100,2021-07-06,2021,3,7,27,6,Alabama,Montgomery,36104,Female,Senior,5,Real Estate Agent,2406,4,4,2,1,39,4,Poor,Sale,1,13889,988492.0,860843.0,3.7,40476.0,131,703
101,2021-10-11,2021,4,10,41,11,South Dakota,Sioux Falls,57105,Female,Adult,4,Property Manager,3905,5,5,2,2,609,67,Poor,Sale,2,2686,321969.0,642735.0,5.6,25662.0,25,0
102,2022-05-17,2022,2,5,20,17,Kentucky,Lexington,40244,Male,Adult,4,Broker Associate,2298,3,3,2,1,283,26,Poor,Rental,0,0,450990.0,870392.0,5.7,15183.0,0,652
103,2022-12-22,2022,4,12,51,22,Minnesota,Monticello,58899,Male,Middle Aged,3,Listing Coordinator,4184,5,5,2,2,475,49,Average,Rental,0,9028,866173.0,739184.0,5.4,44529.0,0,0
104,2021-06-13,2021,2,6,24,13,New York,Jamaica,11407,Male,Adult,2,Listing Coordinator,2934,4,4,2,1,181,24,Average,Rental,0,7398,141770.0,169219.0,2.6,7625.0,0,0
105,2022-09-06,2022,3,9,36,6,District of Columbia,Washington,20535,Female,Senior,2,Broker Associate,2573,4,4,2,1,512,4,Average,Sale,2,6200,428781.0,330017.0,3.2,49899.0,128,932
106,2023-11-06,2023,4,11,45,6,Nevada,Las Vegas,89110,Male,Middle Aged,4,Real Estate Agent,3410,4,4,2,2,53,46,Average,Rental,1,4119,722276.0,454684.0,4.6,18660.0,126,104
107,2023-12-19,2023,4,12,51,19,Washington,Tacoma,98411,Male,Adult,4,Property Manager,3932,5,5,2,2,3,5,Average,Sale,1,5102,905134.0,447386.0,2.3,2428.0,86,275
108,2023-04-03,2023,2,4,14,3,Georgia,Augusta,30905,Female,Middle Aged,3,Real Estate Agent,848,1,1,1,1,27,58,Poor,Sale,0,0,362396.0,281905.0,2.6,45281.0,0,1159
109,2021-05-11,2021,2,5,19,11,Virginia,Norfolk,23509,Male,Senior,1,Leasing Consultant,4269,5,5,2,2,600,61,Poor,Sale,0,6580,395222.0,573533.0,2.1,17455.0,0,400
110,2022-03-10,2022,1,3,10,10,Texas,Odessa,79769,Male,Middle Aged,1,Listing Coordinator,2151,3,3,2,1,397,30,Average,Rental,2,18468,479734.0,607535.0,4.1,6490.0,129,945
111,2023-08-01,2023,3,8,31,1,Louisiana,Baton Rouge,70810,Female,Senior,2,Real Estate Agent,3613,5,5,2,2,600,61,Average,Rental,1,13451,574886.0,196373.0,5.5,16703.0,134,0
112,2023-04-13,2023,2,4,15,13,Arizona,Peoria,85383,Female,Adult,2,Leasing Consultant,4337,5,5,2,2,90,7,Excellent,Rental,0,16951,58937.0,394647.0,5.7,43643.0,0,1322
113,2021-04-08,2021,2,4,14,8,New York,New York City,10024,Female,Adult,3,Property Manager,2429,4,4,2,1,460,23,Average,Sale,1,9827,360119.0,179187.0,4.3,8173.0,137,0
114,2023-09-18,2023,3,9,38,18,New York,New York City,10014,Male,Adult,4,Property Manager,1455,3,3,1,1,48,22,Average,Sale,0,0,39361.0,338815.0,4.3,35552.0,0,0
115,2023-06-18,2023,2,6,25,18,Louisiana,Shreveport,71115,Female,Senior,5,Real Estate Agent,541,1,1,1,1,92,5,Excellent,Sale,2,0,761972.0,154850.0,5.4,8714.0,116,42
116,2023-10-18,2023,4,10,42,18,Illinois,Chicago,60697,Female,Adult,2,Real Estate Agent,662,1,1,1,1,52,35,Average,Rental,0,5522,772870.0,918425.0,4.4,21485.0,0,752
117,2023-07-03,2023,3,7,27,3,Pennsylvania,Philadelphia,19104,Female,Adult,4,Listing Coordinator,1535,3,3,2,1,51,53,Average,Sale,1,9978,248278.0,349588.0,3.8,7938.0,80,0
118,2021-01-15,2021,1,1,3,15,Texas,El Paso,88553,Female,Middle Aged,3,Real Estate Agent,2779,4,4,2,1,87,39,Poor,Sale,1,1277,700928.0,634230.0,2.9,21772.0,81,0
119,2023-09-02,2023,3,9,35,2,Texas,Fort Worth,76134,Female,Middle Aged,2,Listing Coordinator,2255,3,3,2,1,262,36,Excellent,Sale,2,1143,207376.0,171345.0,3.7,9553.0,43,239
120,2021-12-03,2021,4,12,49,3,California,Sacramento,95852,Female,Middle Aged,3,Real Estate Agent,2732,4,4,2,1,235,7,Excellent,Rental,1,7858,570860.4,938874.0,2.6,17905.0,24,437
121,2023-03-20,2023,1,3,12,20,Michigan,Flint,48505,Female,Middle Aged,4,Real Estate Agent,881,1,1,1,1,156,71,Excellent,Rental,0,4897,628092.0,701206.0,2.9,17825.0,0,495
122,2022-04-02,2022,2,4,14,2,Texas,El Paso,79923,Female,Adult,3,Property Manager,2030,3,3,2,1,184,59,Excellent,Rental,1,8792,493300.0,326793.0,4.922076054260648,16085.0,140,363
123,2022-12-30,2022,4,12,52,30,Nevada,Las Vegas,89160,Male,Senior,2,Broker Associate,2869,4,4,2,1,309,66,Average,Sale,1,5390,113980.0,447194.0,4.3,9068.0,7,1365
124,2022-06-29,2022,2,6,26,29,District of Columbia,Washington,26087,Male,Middle Aged,5,Leasing Consultant,3324,4,4,2,2,17,74,Excellent,Sale,0,0,536848.0,801282.0,4.9,17989.0,0,520
125,2021-08-10,2021,3,8,32,10,New York,Schenectady,12325,Male,Middle Aged,5,Listing Coordinator,4341,5,5,2,2,218,14,Excellent,Sale,1,8329,822403.0,632135.0,2.1,25101.0,25,382
126,2022-07-23,2022,3,7,30,23,Texas,San Antonio,78230,Male,Adult,1,Property Manager,2155,3,3,2,1,220,67,Excellent,Sale,2,0,694045.4,306642.0,2.7,20100.0,68,897
127,2021-07-12,2021,3,7,28,12,California,Riverside,92505,Female,Adult,5,Broker Associate,1960,3,3,2,1,127,10,Excellent,Sale,1,6992,984109.0,978702.0,3.4,21381.0,59,484
128,2023-08-11,2023,3,8,32,11,Indiana,South Bend,46699,Male,Middle Aged,3,Real Estate Agent,4596,6,6,3,2,209,32,Average,Rental,0,0,922438.0,532635.0,3.5,11674.0,0,581
129,2021-08-24,2021,3,8,34,24,New York,Brooklyn,11210,Male,Adult,3,Listing Coordinator,1534,3,3,2,1,179,25,Excellent,Sale,1,1057,987132.0,990559.0,3.6,28204.0,177,0
130,2023-10-20,2023,4,10,42,20,New York,Bronx,10474,Male,Middle Aged,5,Real Estate Agent,1965,3,3,2,1,335,50,Average,Sale,1,7587,908379.0,671557.0,4.8,3446.0,52,1079
131,2023-01-12,2023,1,1,2,12,Texas,San Antonio,78215,Female,Adult,5,Real Estate Agent,1691,3,3,2,1,283,47,Excellent,Rental,2,0,519052.0,415666.0,6.376994991170795,26507.0,174,1438
132,2022-02-20,2022,1,2,8,20,Illinois,Aurora,52546,Female,Middle Aged,5,Property Manager,3460,4,4,2,2,25,26,Poor,Sale,1,9999,826377.0,767418.0,5.8,33682.0,103,907
133,2022-07-10,2022,3,7,28,10,Connecticut,Hartford,6152,Male,Middle Aged,1,Leasing Consultant,1700,3,3,2,1,328,58,Poor,Sale,0,349,526163.0,463622.0,5.9,25583.0,0,16
